"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"opinion-dynamics.nlogo"
"MediaShockANDCorruption"
"07/17/2025 15:39:05:221 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","media-shock?","corruption-active?","opinion-drift?","[step]","avg-trust","avg-surveillance","avg-inclusion","avg-net-density","links-formed-this-tick","links-broken-this-tick","count turtles with [opinion-trust < 0.3]","count turtles with [count link-neighbors = 0]"
"2","true","true","false","27","5.051150868351778E-4","0.4959543757168991","0.4940666327804447","7.190196078431373","49","28","1020","7"
"4","true","true","false","27","4.807705232359281E-4","0.49757464974605703","0.5093236746356283","7.237254901960784","30","12","1020","6"
"1","true","true","false","11","0.022802584859001076","0.47435657095049627","0.49974704356993893","3.3568627450980393","734","312","1013","49"
"2","true","true","false","28","4.715712705586479E-4","0.49449596668616425","0.4929851636847657","7.211764705882353","34","23","1020","6"
"3","true","true","false","23","2.597650705403021E-4","0.4794767992639646","0.4923848750691701","6.815686274509804","197","25","1020","5"
"5","true","true","false","22","4.390161727576852E-4","0.4891454571508268","0.49305646561315075","6.374509803921568","254","17","1020","7"
"4","true","true","false","28","4.556233468656652E-4","0.49647947700779926","0.5095456337125497","7.241176470588235","20","18","1020","6"
"2","true","true","false","29","4.458307963723177E-4","0.4937869029692057","0.4928005440685828","7.237254901960784","26","13","1020","2"
"3","true","true","false","24","2.4444975146534534E-4","0.48065602951174985","0.49158420904792255","7.092156862745098","147","6","1020","3"
"5","true","true","false","23","4.435609807053043E-4","0.48939864497317737","0.4929174066011531","6.743137254901961","217","29","1020","8"
"4","true","true","false","29","4.2652828325561375E-4","0.4981771888721003","0.5089500693312228","7.250980392156863","15","10","1020","4"
"1","true","true","false","12","0.02177117965555559","0.4735333343021185","0.500488320966426","3.831372549019608","679","437","1013","52"
"3","true","true","false","25","2.1085717094918857E-4","0.48101048749740205","0.4915692967704161","7.249019607843137","88","8","1020","1"
"5","true","true","false","24","4.2146340899102303E-4","0.48837247263159667","0.4920522416263194","7.037254901960784","160","10","1020","4"
"2","true","true","false","30","3.6621189437120987E-4","0.49404823047106944","0.492828635185385","7.26078431372549","23","11","1020","3"
"4","true","true","false","30","3.6425750522595704E-4","0.49951717059385253","0.5087782900829285","7.252941176470588","13","12","1020","5"
"3","true","true","false","26","2.1457138939612918E-4","0.480665247995225","0.4920478548390675","7.356862745098039","57","2","1020","0"
"4","true","true","false","31","0","0.4995795423566587","0.5093538670193116","7.2784313725490195","13","0","1020","0"
"5","true","true","false","25","3.5597292700550136E-4","0.4880482930802652","0.49177846654116175","7.247058823529412","119","12","1020","3"
"2","true","true","false","31","0","0.49255729395286","0.4921222949027774","7.303921568627451","22","0","1020","0"
"4","true","true","false","32","0","0.5002376355355754","0.5086448250972451","7.303921568627451","13","0","1020","0"
"3","true","true","false","27","1.95309728857368E-4","0.47912799471087664","0.4916950062978339","7.382352941176471","20","7","1020","1"
"2","true","true","false","32","0","0.4935642099828054","0.49232750413516296","7.3431372549019605","20","0","1020","0"
"5","true","true","false","26","3.156796855322745E-4","0.48652734535712555","0.4911192571979748","7.374509803921568","78","13","1020","5"
"1","true","true","false","13","0.020826396530222623","0.47250672228751533","0.5005398204889632","4.2215686274509805","620","421","1014","63"
"4","true","true","false","33","0","0.5006855596615647","0.5077336011853674","7.329411764705882","13","0","1020","0"
"2","true","true","false","33","0","0.4928133577178091","0.4923773917581368","7.376470588235295","17","0","1020","0"
"3","true","true","false","28","1.7334426984288876E-4","0.4793945746446435","0.49069084510104244","7.401960784313726","13","3","1020","0"
"5","true","true","false","27","3.20513540437377E-4","0.48780754939738125","0.49000003316025614","7.423529411764706","40","15","1020","2"
"4","true","true","false","34","0","0.5018411925145552","0.5090068168333338","7.352941176470588","12","0","1020","0"
"2","true","true","false","34","0","0.49304851503280345","0.49216817667842966","7.403921568627451","14","0","1020","0"
"3","true","true","false","29","1.567726891218345E-4","0.47741414358449535","0.491044841276816","7.405882352941177","9","7","1020","2"
"5","true","true","false","28","2.618635318152568E-4","0.4871102455114261","0.4892114018128112","7.4372549019607845","17","10","1020","4"
"1","true","true","false","14","0.019786562223271457","0.47318604499608546","0.5007105840132168","4.468627450980392","539","413","1014","60"
"2","true","true","false","35","0","0.4936635288615743","0.4900523970544747","7.425490196078432","11","0","1020","0"
"4","true","true","false","35","0","0.5017455577516546","0.5080580454936144","7.376470588235295","12","0","1020","0"
"3","true","true","false","30","1.5628573567495722E-4","0.4759942942966673","0.49110941920236884","7.415686274509804","9","4","1020","2"
"4","true","true","false","36","0","0.5020033814024574","0.5078090081720403","7.398039215686275","11","0","1020","0"
