"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"collective-action-imitation.nlogo"
"General Analysis CA Baseline"
"07/17/2025 13:59:54:765 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-resisted","corruption?","coercion-level","initial-enrolled","corruption-penalty","media-shock-freq","trust-erosion","force-enrollment?","appeals-process?","media-shock?","[step]","total-enrolled","total-resisted","total-undecided","enrolled-urban","enrolled-rural","resisted-urban","resisted-rural","avg-trust","avg-digital-literacy","avg-rural-literacy"
"5","100","true","0","300","1","91","51","true","true","true","35","300","336","364","156","144","72","264","0.4629797999063427","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","34","300","338","362","161","139","71","267","0.4677004608211183","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","41","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","36","300","336","364","156","144","72","264","0.46297979990634247","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","35","300","338","362","161","139","71","267","0.46770046082111844","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","42","300","366","334","168","132","63","303","0.44608409642818475","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","14","300","347","353","150","150","60","287","0.43733075777595015","0.2950980392156863","0.09514563106796116"
"1","100","true","0","300","1","91","51","true","true","true","0","300","100","600","145","155","55","45","0.5106956405957208","0.30490196078431375","0.108"
"5","100","true","0","300","1","91","51","true","true","true","37","300","336","364","156","144","72","264","0.4629797999063426","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","43","300","366","334","168","132","63","303","0.4460840964281848","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","15","300","347","353","150","150","60","287","0.43733075777595026","0.2950980392156863","0.09514563106796116"
"3","100","true","0","300","1","91","51","true","true","true","36","300","338","362","161","139","71","267","0.4677004608211186","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","38","300","336","364","156","144","72","264","0.4629797999063426","0.3215686274509804","0.11041666666666666"
"4","100","true","0","300","1","91","51","true","true","true","44","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"3","100","true","0","300","1","91","51","true","true","true","37","300","338","362","161","139","71","267","0.46770046082111894","0.3156862745098039","0.10759493670886076"
"5","100","true","0","300","1","91","51","true","true","true","39","300","336","364","156","144","72","264","0.4629797999063423","0.3215686274509804","0.11041666666666666"
"2","100","true","0","300","1","91","51","true","true","true","16","300","347","353","150","150","60","287","0.4373307577759501","0.2950980392156863","0.09514563106796116"
"4","100","true","0","300","1","91","51","true","true","true","45","300","366","334","168","132","63","303","0.4460840964281845","0.31176470588235294","0.11242603550295859"
"5","100","true","0","300","1","91","51","true","true","true","40","300","336","364","156","144","72","264","0.4629797999063423","0.3215686274509804","0.11041666666666666"
"3","100","true","0","300","1","91","51","true","true","true","38","300","338","362","161","139","71","267","0.46770046082111866","0.3156862745098039","0.10759493670886076"
"4","100","true","0","300","1","91","51","true","true","true","46","300","366","334","168","132","63","303","0.44608409642818486","0.31176470588235294","0.11242603550295859"
"2","100","true","0","300","1","91","51","true","true","true","17","300","347","353","150","150","60","287","0.43733075777595043","0.2950980392156863","0.09514563106796116"
